donor_id,in_study,model_score,diff_efficiency
HPSI0516i-eitu_3,not_assessed,0.968379274,NA
HPSI0516i-eosr_1,not_assessed,0.940040194,NA
HPSI0516i-goek_4,not_assessed,0.004535136,NA
HPSI0516i-hapz_2,not_assessed,0.979251536,NA
HPSI0516i-hapz_3,not_assessed,0.000353772,NA
HPSI0516i-iool_4,not_assessed,0.288283813,NA
HPSI0516i-iool_6,not_assessed,0.946734397,NA
HPSI0516i-iuoc_2,not_assessed,4.09E-05,NA
HPSI0516i-iuoc_5,not_assessed,0.863445985,NA
HPSI0516i-jepf_3,not_assessed,2.41E-05,NA
HPSI0516i-jepf_5,not_assessed,3.85E-05,NA
HPSI0516i-jory_10,not_assessed,8.51E-06,NA
HPSI0516i-jory_9,not_assessed,0.00664435,NA
HPSI0516i-kumr_11,not_assessed,0.82634483,NA
HPSI0516i-menz_3,not_assessed,0.616118642,NA
HPSI0516i-menz_4,not_assessed,0.417758968,NA
HPSI0516i-oadp_4,not_assessed,0.941134961,NA
HPSI0516i-oadp_5,not_assessed,0.002738201,NA
HPSI0516i-oazw_3,not_assessed,0.005596239,NA
HPSI0516i-oazw_4,not_assessed,0.965696208,NA
HPSI0516i-peoo_1,not_assessed,0.038503609,NA
HPSI0516i-peoo_2,not_assessed,0.193925656,NA
HPSI0516i-pews_2,not_assessed,2.39E-05,NA
HPSI0516i-pews_3,not_assessed,0.892856537,NA
HPSI0516i-quqp_4,not_assessed,0.982598694,NA
HPSI0516i-quqp_6,not_assessed,0.870489353,NA
HPSI0516i-raet_4,not_assessed,0.00015425,NA
HPSI0516i-raet_6,not_assessed,0.476879172,NA
HPSI0516i-suqd_3,not_assessed,5.51E-05,NA
HPSI0516i-suqd_6,not_assessed,1.50E-06,NA
HPSI0516i-suyj_1,not_assessed,0.742922385,NA
HPSI0516i-suyj_2,not_assessed,0.058891981,NA
HPSI0516i-vebd_2,not_assessed,0.002808554,NA
HPSI0516i-vebd_4,not_assessed,0.891632763,NA
HPSI0516i-yibc_4,not_assessed,0.963355129,NA
HPSI0516i-yist_1,not_assessed,0.316640074,NA
HPSI0516i-yist_3,not_assessed,0.690312526,NA
HPSI0516i-zujs_5,not_assessed,0.650059214,NA
HPSI0516i-zukb_2,not_assessed,0.892649184,NA
HPSI0516i-zukb_3,not_assessed,8.61E-05,NA
HPSI0613i-aevs_1,failed,8.91E-07,0.105109489
HPSI0613i-auim_2,not_assessed,0.04465622,NA
HPSI0613i-auim_3,not_assessed,0.026401349,NA
HPSI0613i-bawa_1,succeeded,0.987174215,0.870872142
HPSI0613i-bohf_1,succeeded,0.963033167,0.499262899
HPSI0613i-dium_1,not_assessed,0.257350041,NA
HPSI0613i-eojr_2,succeeded,0.951225273,0.811764706
HPSI0613i-eojr_3,not_assessed,0.988449635,NA
HPSI0613i-febc_1,not_assessed,0.898363521,NA
HPSI0613i-febc_2,not_assessed,0.551245754,NA
HPSI0613i-focm_1,not_assessed,0.561352108,NA
HPSI0613i-funp_2,not_assessed,0.973378908,NA
HPSI0613i-funp_3,not_assessed,0.787725659,NA
HPSI0613i-giuo_4,not_assessed,0.122079664,NA
HPSI0613i-giuo_5,not_assessed,0.880304785,NA
HPSI0613i-hegp_3,succeeded,0.966605949,0.683127572
HPSI0613i-hikj_1,not_assessed,0.267059442,NA
HPSI0613i-hikj_2,succeeded,0.965477444,0.921875
HPSI0613i-jorr_1,not_assessed,0.522373779,NA
HPSI0613i-liun_2,not_assessed,0.907099354,NA
HPSI0613i-liun_22,succeeded,0.965797022,0.333333333
HPSI0613i-lizq_1,not_assessed,0.22231539,NA
HPSI0613i-lizq_3,succeeded,0.998238473,0.605804203
HPSI0613i-nukw_1,not_assessed,0.881069125,NA
HPSI0613i-oefg_2,not_assessed,0.27831574,NA
HPSI0613i-oesx_3,not_assessed,1.52E-06,NA
HPSI0613i-oomz_2,not_assessed,0.000275111,NA
HPSI0613i-oomz_22,failed,0.101955086,0.093204775
HPSI0613i-qanu_1,not_assessed,0.993229569,NA
HPSI0613i-qanu_2,not_assessed,0.256459385,NA
HPSI0613i-qony_1,succeeded,0.999174295,0.655263158
HPSI0613i-qony_2,not_assessed,0.125047377,NA
HPSI0613i-riiv_1,not_assessed,0.580876975,NA
HPSI0613i-riiv_3,not_assessed,0.041636755,NA
HPSI0613i-ueah_1,not_assessed,0.761889494,NA
HPSI0613i-ueah_4,not_assessed,0.845578548,NA
HPSI0613i-vorx_1,not_assessed,0.028879383,NA
HPSI0613i-vorx_3,not_assessed,0.373574687,NA
HPSI0613i-xavk_3,succeeded,0.993696276,0.906976744
HPSI0613i-xosg_2,not_assessed,0.92862203,NA
HPSI0613i-xucm_3,not_assessed,0.945161086,NA
HPSI0613i-zisa_3,not_assessed,0.916905093,NA
HPSI0613i-zisa_33,not_assessed,0.995126122,NA
HPSI0614i-ciwj_1,not_assessed,0.278357082,NA
HPSI0614i-ciwj_2,not_assessed,0.45642842,NA
HPSI0614i-denw_6,not_assessed,0.093999086,NA
HPSI0614i-dixh_2,not_assessed,0.851682854,NA
HPSI0614i-eavo_1,not_assessed,0.979559015,NA
HPSI0614i-eisk_3,not_assessed,0.94077926,NA
HPSI0614i-eisk_6,not_assessed,0.989400344,NA
HPSI0614i-fovu_2,not_assessed,0.437075357,NA
HPSI0614i-fovu_5,not_assessed,0.99476037,NA
HPSI0614i-foyj_1,not_assessed,0.791764731,NA
HPSI0614i-gawh_12,not_assessed,0.963120119,NA
HPSI0614i-gawh_7,not_assessed,0.991452614,NA
HPSI0614i-guyj_2,not_assessed,0.81482981,NA
HPSI0614i-juzt_4,failed,6.23E-05,0.098971093
HPSI0614i-kecw_3,not_assessed,0.989339511,NA
HPSI0614i-kecw_4,not_assessed,0.984073402,NA
HPSI0614i-kegd_2,not_assessed,0.997087724,NA
HPSI0614i-koqx_1,not_assessed,0.926631401,NA
HPSI0614i-laig_1,not_assessed,0.88731696,NA
HPSI0614i-laig_2,not_assessed,0.895869874,NA
HPSI0614i-lepk_1,not_assessed,0.896190601,NA
HPSI0614i-lepk_4,not_assessed,0.985994679,NA
HPSI0614i-lipl_2,not_assessed,7.51E-05,NA
HPSI0614i-lipl_5,not_assessed,1.06E-05,NA
HPSI0614i-liqa_1,succeeded,0.980260733,0.555236729
